kode,uraian,uraian_ai
000,umum;umum,"[umum, tata usaha, perlengkapan, aset, rapat, surat menyurat] -> umum"
500.8.3.1,identifikasi dan pendayaguunaan sumber daya tanaman rempah dan penyegar;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perkebunan -> tanaman rempah dan penyegar -> identifikasi dan pendayaguunaan sumber daya tanaman rempah dan penyegar"
500.8.3.2,perbenihan tanaman rempah dan penyegar;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perkebunan -> tanaman rempah dan penyegar -> perbenihan tanaman rempah dan penyegar"
500.8.3.3,budidaya tanaman rempah dan penyegar;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perkebunan -> tanaman rempah dan penyegar -> budidaya tanaman rempah dan penyegar"
500.8.3.4,pemberdayaan dan kelembagaan tanaman rempah dan penyegar;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perkebunan -> tanaman rempah dan penyegar -> pemberdayaan dan kelembagaan tanaman rempah dan penyegar"
500.8.4,tanaman tahunan;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perkebunan -> tanaman tahunan"
500.8.4.1,identifikasi dan pendayagunaan sumber daya tanaman tahunan;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perkebunan -> tanaman tahunan -> identifikasi dan pendayagunaan sumber daya tanaman tahunan"
500.8.4.2,perbenihan tanaman tahunan;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perkebunan -> tanaman tahunan -> perbenihan tanaman tahunan"
500.8.4.3,budidaya tanaman tahunan;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perkebunan -> tanaman tahunan -> budidaya tanaman tahunan"
500.8.4.4,pemberdayaan dan kelembagaan tanaman tahunan;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perkebunan -> tanaman tahunan -> pemberdayaan dan kelembagaan tanaman tahunan"
500.8.5,perlindungan perkebunan;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perkebunan -> perlindungan perkebunan"
500.8.5.1,identifikasi dan pengendalian organisme pengganggu tumbuhan tanaman semusim perlindungan perkebunan;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perkebunan -> perlindungan perkebunan -> identifikasi dan pengendalian organisme pengganggu tumbuhan tanaman semusim perlindungan perkebunan"
500.8.5.2,identifikasi dan pengendalian organisme pengganggu tumbuhan tanaman rempah dan penyegar;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perkebunan -> perlindungan perkebunan -> identifikasi dan pengendalian organisme pengganggu tumbuhan tanaman rempah dan penyegar"
500.8.5.3,identifikasi dan pengendalian organisme pengganggu tumbuhan tanaman tahunan;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perkebunan -> perlindungan perkebunan -> identifikasi dan pengendalian organisme pengganggu tumbuhan tanaman tahunan"
500.8.5.4,dampak perubahan iklim dan pencegahan kebakaran;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perkebunan -> perlindungan perkebunan -> dampak perubahan iklim dan pencegahan kebakaran"
500.8.6,pascapanen dan pembinaan usaha;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perkebunan -> pascapanen dan pembinaan usaha"
500.8.6.1,pascapanen tanaman semusim rempah dan penyegar;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perkebunan -> pascapanen dan pembinaan usaha -> pascapanen tanaman semusim rempah dan penyegar"
500.8.6.2,pascapanen tanaman tahunan;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perkebunan -> pascapanen dan pembinaan usaha -> pascapanen tanaman tahunan"
500.8.6.3,bimbingan usaha dan perkebunan berkelanjutan;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perkebunan -> pascapanen dan pembinaan usaha -> bimbingan usaha dan perkebunan berkelanjutan"
500.8.6.4,gangguan usaha dan penanganan konflik;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perkebunan -> pascapanen dan pembinaan usaha -> gangguan usaha dan penanganan konflik"
500.8.7,bimbingan teknis perkebunan;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perkebunan -> bimbingan teknis perkebunan"
500.8.8,evaluasi perkebunan;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perkebunan -> evaluasi perkebunan"
500.9,perindustrian;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian"
500.9.1,kebijakan di bidang perindustrian yang dilakukan oleh pemerintah daerah;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> kebijakan di bidang perindustrian yang dilakukan oleh pemerintah daerah"
500.9.2,iklim usaha dan kerja sama;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> iklim usaha dan kerja sama"
500.9.2.1,industri manufaktur;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> iklim usaha dan kerja sama -> industri manufaktur"
500.9.2.2,industri agro;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> iklim usaha dan kerja sama -> industri agro"
500.9.2.3,industri unggulan berbasis teknologi tinggi;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> iklim usaha dan kerja sama -> industri unggulan berbasis teknologi tinggi"
500.9.2.4,industri kecil dan menengah;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> iklim usaha dan kerja sama -> industri kecil dan menengah"
500.9.3,promosi industri;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> promosi industri"
500.9.3.1,industri manufaktur;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> promosi industri -> industri manufaktur"
500.9.3.2,promosi industri agro;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> promosi industri -> promosi industri agro"
500.9.3.3,industri unggulan berbasis teknologi tinggi;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> promosi industri -> industri unggulan berbasis teknologi tinggi"
500.9.3.4,industri kecil dan menengah;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> promosi industri -> industri kecil dan menengah"
500.9.4,standarisasi dan teknologi;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> standarisasi dan teknologi"
500.9.4.1,industri manufaktur;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> standarisasi dan teknologi -> industri manufaktur"
500.9.4.2,industri agro;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> standarisasi dan teknologi -> industri agro"
500.9.4.3,industri unggulan berbasis teknologi tinggi;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> standarisasi dan teknologi -> industri unggulan berbasis teknologi tinggi"
500.9.4.4,industri kecil dan menengah;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> standarisasi dan teknologi -> industri kecil dan menengah"
500.9.5,hak dan kekayaan intelektual;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> hak dan kekayaan intelektual"
500.9.5.1,industri manufaktur;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> hak dan kekayaan intelektual -> industri manufaktur"
500.9.5.2,industri agro;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> hak dan kekayaan intelektual -> industri agro"
500.9.5.3,industri unggulan berbasis teknologi tinggi;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> hak dan kekayaan intelektual -> industri unggulan berbasis teknologi tinggi"
500.9.5.4,industri kecil dan menengah;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> hak dan kekayaan intelektual -> industri kecil dan menengah"
500.9.6,industri hijau;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> industri hijau"
500.9.6.1,industri manufaktur;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> industri hijau -> industri manufaktur"
500.9.6.2,industri agro;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> industri hijau -> industri agro"
500.9.6.3,industri unggulan berbasis teknologi tinggi;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> industri hijau -> industri unggulan berbasis teknologi tinggi"
500.9.6.4,industri kecil dan menengah;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> industri hijau -> industri kecil dan menengah"
500.9.7,analisis kerja sama industri unggulan kabupaten kota;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> analisis kerja sama industri unggulan kabupaten kota"
500.9.8,monitoring dan evaluasi kompetensi inti industri provinsi dan kabupaten kota;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> monitoring dan evaluasi kompetensi inti industri provinsi dan kabupaten kota"
500.9.9,pengembangan infrastruktur pendukung pengembangan kawasan industri;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> pengembangan infrastruktur pendukung pengembangan kawasan industri"
500.9.10,fasilitasi pengembangan kawasan industri;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> fasilitasi pengembangan kawasan industri"
500.9.11,kerja sama ketahanan industri internasional;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> kerja sama ketahanan industri internasional"
500.9.12,standarisasi;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> standarisasi"
500.9.12.1,standar ;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> standarisasi -> standar"
500.9.12.2,penyiapan penerapan;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> standarisasi -> penyiapan penerapan"
500.9.12.3,infrastruktur standar ;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> standarisasi -> infrastruktur standar"
500.9.13,pengkajian kebijakan dan iklim usaha industri;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> pengkajian kebijakan dan iklim usaha industri"
500.9.13.1,kebijakan industri;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> pengkajian kebijakan dan iklim usaha industri -> kebijakan industri"
500.9.13.2,perpajakan dan tarif;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> pengkajian kebijakan dan iklim usaha industri -> perpajakan dan tarif"
500.9.13.3,pengembangan model industrial;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> pengkajian kebijakan dan iklim usaha industri -> pengembangan model industrial"
500.9.14,pengkajian industri hijau dan lingkungan hidup;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> pengkajian industri hijau dan lingkungan hidup"
500.9.14.1,industri hijau;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> pengkajian industri hijau dan lingkungan hidup -> industri hijau"
500.9.14.2,lingkungan hidup;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> pengkajian industri hijau dan lingkungan hidup -> lingkungan hidup"
500.9.14.3,energi ;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> pengkajian industri hijau dan lingkungan hidup -> energi"
500.9.15,teknologi dan hak kekayaan intelektual;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> teknologi dan hak kekayaan intelektual"
500.9.15.1,pengkajian dan penerapan kebijakan teknologi industri;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> teknologi dan hak kekayaan intelektual -> pengkajian dan penerapan kebijakan teknologi industri"
500.9.15.2,pengkajian dan penerapan inovasi teknologi industri;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> teknologi dan hak kekayaan intelektual -> pengkajian dan penerapan inovasi teknologi industri"
500.9.15.3,pengembangan hak kekayaan intelektual;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> perindustrian -> teknologi dan hak kekayaan intelektual -> pengembangan hak kekayaan intelektual"
500.10,energi dan sumber daya mineral;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral"
500.10.1,kebijakan di bidang energi dan sumber daya mineral yang dilakukan oleh pemerintah daerah;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> kebijakan di bidang energi dan sumber daya mineral yang dilakukan oleh pemerintah daerah"
500.10.2,rekomendasi kegeologian;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> rekomendasi kegeologian"
500.10.2.1,mitigasi gunung api gempa bumi tsunami dan gerakan tanah;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> rekomendasi kegeologian -> mitigasi gunung api gempa bumi tsunami dan gerakan tanah"
500.10.2.2,air tanah dan geologi tata lingkungan;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> rekomendasi kegeologian -> air tanah dan geologi tata lingkungan"
500.10.2.3,pertambangan ;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> rekomendasi kegeologian -> pertambangan"
500.10.2.4,panas bumi;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> rekomendasi kegeologian -> panas bumi"
500.10.2.5,geosains ;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> rekomendasi kegeologian -> geosains"
500.10.2.6,pengukuran time domain electromagnetic tdem;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> rekomendasi kegeologian -> pengukuran time domain electromagnetic tdem"
500.10.2.7,kelayakan lingkungan;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> rekomendasi kegeologian -> kelayakan lingkungan"
500.10.3,penelitian kegeologian;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> penelitian kegeologian"
500.10.3.1,administrasi pelaksanaan penelitian;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> penelitian kegeologian -> administrasi pelaksanaan penelitian"
500.10.3.2,administrasi tenaga penelitian;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> penelitian kegeologian -> administrasi tenaga penelitian"
500.10.3.3,administrasi penggunaan peralatan penelitian;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> penelitian kegeologian -> administrasi penggunaan peralatan penelitian"
500.10.3.4,log book peralatan survei peralatan uji kalibrasi;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> penelitian kegeologian -> log book peralatan survei peralatan uji kalibrasi"
500.10.3.5,hasil penelitian dan penyelidikan kegeologian;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> penelitian kegeologian -> hasil penelitian dan penyelidikan kegeologian"
500.10.3.6,sumber daya geologi;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> penelitian kegeologian -> sumber daya geologi"
500.10.3.7,air tanah dan geologi tata lingkungan;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> penelitian kegeologian -> air tanah dan geologi tata lingkungan"
500.10.3.8,vulkanologi dan mitigasi bencana geologi;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> penelitian kegeologian -> vulkanologi dan mitigasi bencana geologi"
500.10.3.9,survei geologi;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> penelitian kegeologian -> survei geologi"
500.10.4,inventarisasi dan evaluasi kegeologian;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> inventarisasi dan evaluasi kegeologian"
500.10.4.1,sumber daya geologi;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> inventarisasi dan evaluasi kegeologian -> sumber daya geologi"
500.10.4.2,vulkanologi dan mitigasi bencana geologi;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> inventarisasi dan evaluasi kegeologian -> vulkanologi dan mitigasi bencana geologi"
500.10.4.3,air tanah dan geologi tata lingkungan;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> inventarisasi dan evaluasi kegeologian -> air tanah dan geologi tata lingkungan"
500.10.4.4,survei geologi;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> inventarisasi dan evaluasi kegeologian -> survei geologi"
500.10.4.5,konservasi;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> inventarisasi dan evaluasi kegeologian -> konservasi"
500.10.5,administrasi pelayanan kegeologian dan penyajian data dan informasi;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> administrasi pelayanan kegeologian dan penyajian data dan informasi"
500.10.5.1,peta potensi dan sebaran;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> administrasi pelayanan kegeologian dan penyajian data dan informasi -> peta potensi dan sebaran"
500.10.5.2,air tanah dan geologi tata lingkungan;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> administrasi pelayanan kegeologian dan penyajian data dan informasi -> air tanah dan geologi tata lingkungan"
500.10.5.3,mitigasi bencana gunung api gerakan tanah gempa bumi dan tsunami semburan lumpur gas serta kebakaran batubara;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> administrasi pelayanan kegeologian dan penyajian data dan informasi -> mitigasi bencana gunung api gerakan tanah gempa bumi dan tsunami semburan lumpur gas serta kebakaran batubara"
500.10.5.4,survei geologi;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> administrasi pelayanan kegeologian dan penyajian data dan informasi -> survei geologi"
500.10.6,pembinaan program minyak dan gas bumi;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> pembinaan program minyak dan gas bumi"
500.10.6.1,rencana induk jaringan gas bumi;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> pembinaan program minyak dan gas bumi -> rencana induk jaringan gas bumi"
500.10.6.2,rencana dan realisasi investasi;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> pembinaan program minyak dan gas bumi -> rencana dan realisasi investasi"
500.10.6.3,penetapan harga minyak mentah;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> pembinaan program minyak dan gas bumi -> penetapan harga minyak mentah"
500.10.6.4,penetapan bagi hasil penerimaan negara bukan pajak pnbp minyak dan gas bumi;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> pembinaan program minyak dan gas bumi -> penetapan bagi hasil penerimaan negara bukan pajak pnbp minyak dan gas bumi"
500.10.6.5,pelaksanaan pemeriksaan dan pengujian pnbp;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> pembinaan program minyak dan gas bumi -> pelaksanaan pemeriksaan dan pengujian pnbp"
500.10.6.6,verifikasi tingkat komponen dalam negeri tkdn;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> pembinaan program minyak dan gas bumi -> verifikasi tingkat komponen dalam negeri tkdn"
500.10.6.7,rekomendasi kemampuan produksi barang dan jasa dalam negeri;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> pembinaan program minyak dan gas bumi -> rekomendasi kemampuan produksi barang dan jasa dalam negeri"
500.10.6.8,rencana kebutuhan impor barang rkib dan rencana impor barang r1b;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> pembinaan program minyak dan gas bumi -> rencana kebutuhan impor barang rkib dan rencana impor barang r1b"
500.10.7,pembinaan usaha hulu minyak dan gas bumi;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> pembinaan usaha hulu minyak dan gas bumi"
500.10.7.1,penyiapan dan penawaran wilayah kerja wk minyak dan gas bumi konvensional dan non konvensional;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> pembinaan usaha hulu minyak dan gas bumi -> penyiapan dan penawaran wilayah kerja wk minyak dan gas bumi konvensional dan non konvensional"
500.10.7.2,eksplorasi minyak dan gas bumi antara lain pemanfaatan data migas untuk presentasi makalah publikasi makalah pembukaan data izin pengiriman data ke luar negeri izin pengiriman data ke luar negeri unitisasi lapangan minyak dan gas bumi rekomendasi pengalihan interest rekomendasi penyisihan wilayah kerja minyak dan gas bumi penyiapan dokumen pengakhiran kontrak laporan data survei seismik laporan data pemboran sumur eksplorasi per semester laporan data pemboran sumur eksplorasi tahunan;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> pembinaan usaha hulu minyak dan gas bumi -> eksplorasi minyak dan gas bumi antara lain pemanfaatan data migas untuk presentasi makalah publikasi makalah pembukaan data izin pengiriman data ke luar negeri izin pengiriman data ke luar negeri unitisasi lapangan minyak dan gas bumi rekomendasi pengalihan interest rekomendasi penyisihan wilayah kerja minyak dan gas bumi penyiapan dokumen pengakhiran kontrak laporan data survei seismik laporan data pemboran sumur eksplorasi per semester laporan data pemboran sumur eksplorasi tahunan"
500.10.7.3 eksploitasi minyak dan gas bumi antara lain rekomendasi penggunaan data eksploitasi publikasi makalah analisa laboratorium reprocessing penetapan pengusahaan minyak bumi dari sumur tua penetapan pengusahaan lapangan produksi yang dikembalikan kepada pemerintah buku cadangan minyak dan gas bumi data cadangan strategis penyangga minyak dan gas bumi laporan hasil pemantauan data produksi minyak dan gas bumi laporan hasil inventarisasi mutu minyak dan gas bumi;,,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> pembinaan usaha hulu minyak dan gas bumi"
500.10.7.4,pengembangan lapangan minyak dan gas bumi pod;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> pembinaan usaha hulu minyak dan gas bumi -> pengembangan lapangan minyak dan gas bumi pod"
500.10.7.5,perpanjangan kontrak kks;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> pembinaan usaha hulu minyak dan gas bumi -> perpanjangan kontrak kks"
500.10.7.6,penetapan alokasi dan harga gas;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> pembinaan usaha hulu minyak dan gas bumi -> penetapan alokasi dan harga gas"
500.10.7.7,partisipasi interest;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> pembinaan usaha hulu minyak dan gas bumi -> partisipasi interest"
500.10.7.8,tumpang tindih lahan;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> pembinaan usaha hulu minyak dan gas bumi -> tumpang tindih lahan"
500.10.8,pembinaan usaha hilir minyak dan gas bumi;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> pembinaan usaha hilir minyak dan gas bumi"
500.10.8.1,perumusan pedoman prosedur layanan serta pengawasan usaha pengolahan pengangkutan penyimpanan dan niaga minyak bumi dan gas bumi hasil olahan dan bahan bakar lain antara lain pedoman dan prosedur layanan usaha izin rekomendasi penandasahan pengawasan;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> pembinaan usaha hilir minyak dan gas bumi -> perumusan pedoman prosedur layanan serta pengawasan usaha pengolahan pengangkutan penyimpanan dan niaga minyak bumi dan gas bumi hasil olahan dan bahan bakar lain antara lain pedoman dan prosedur layanan usaha izin rekomendasi penandasahan pengawasan"
500.10.8.2,fasilitasi dan pertimbangan pelanggaran;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> pembinaan usaha hilir minyak dan gas bumi -> fasilitasi dan pertimbangan pelanggaran"
500.10.8.3,penetapan harga dan subsidi bahan bakar yang ditetapkan dengan keputusan menteri;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> pembinaan usaha hilir minyak dan gas bumi -> penetapan harga dan subsidi bahan bakar yang ditetapkan dengan keputusan menteri"
500.10.9,teknik dan lingkungan;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> teknik dan lingkungan"
500.10.9.1,perumusan pelaksanaan dan pengawasan standar nasional indonesia sni standar kompetensi kerja nasional indonesia skkni;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> teknik dan lingkungan -> perumusan pelaksanaan dan pengawasan standar nasional indonesia sni standar kompetensi kerja nasional indonesia skkni"
500.10.9.2,registrasi nomor pelumas terdaftar npt antara lain berkas permohonan berita acara hasil evaluasi salinan sertifikat npt register npt;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> teknik dan lingkungan -> registrasi nomor pelumas terdaftar npt antara lain berkas permohonan berita acara hasil evaluasi salinan sertifikat npt register npt"
500.10.9.3,buku register welding procedure specification wps procedure qualification record pqr;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> teknik dan lingkungan -> buku register welding procedure specification wps procedure qualification record pqr"
500.10.9.4,register dan sertifikat kualifikasi juru las;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> teknik dan lingkungan -> register dan sertifikat kualifikasi juru las"
500.10.9.5,keselamatan hulu minyak dan gas bumi antara lain pemeriksaan teknis dan pengujian instalasi dan peralatan pemeriksaan kalibrasi teknis pengawasan keselamatan operasi;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> teknik dan lingkungan -> keselamatan hulu minyak dan gas bumi antara lain pemeriksaan teknis dan pengujian instalasi dan peralatan pemeriksaan kalibrasi teknis pengawasan keselamatan operasi"
500.10.9.6,keselamatan hilir minyak dan gas bumi antara lain pemeriksaan teknis dan pengujian instalasi dan peralatan pemeriksaan kalibrasi teknis pengawasan;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> teknik dan lingkungan -> keselamatan hilir minyak dan gas bumi antara lain pemeriksaan teknis dan pengujian instalasi dan peralatan pemeriksaan kalibrasi teknis pengawasan"
500.10.9.7,keselamatan kerja dan lindungan lingkungan;,"[perekonomian, pasar, industri, umkm, pertanian] -> perekonomian -> energi dan sumber daya mineral -> teknik dan lingkungan -> keselamatan kerja dan lindungan lingkungan"
